Timestamp (ns),Timestamp2,I,Q
2024-11-17 11:03:08.349144419,.824,0.000167,0.000686
2024-11-17 11:03:08.349144430,.657,0.000343,-0.000166
2024-11-17 11:03:08.349144441,.490,0.000852,-0.000686
2024-11-17 11:03:08.349144452,.323,-0.000343,-0.000167
2024-11-17 11:03:08.349144463,.156,0.0012,-0.000853
2024-11-17 11:03:08.349144473,.989,-0.00103,-0.00137
2024-11-17 11:03:08.349144484,.822,0.000686,0.000852
2024-11-17 11:03:08.349144495,.655,-0.000166,0.0012
2024-11-17 11:03:08.349144506,.488,0.0012,2.51e-07
2024-11-17 11:03:08.349144517,.321,0.000852,-0.000685
2024-11-17 11:03:08.349144528,.154,-0.000686,0.000343
2024-11-17 11:03:08.349144538,.987,-0.00051,1.47e-07
2024-11-17 11:03:08.349144549,.820,-0.000167,-0.00103
2024-11-17 11:03:08.349144560,.653,-2e-07,-3.73e-07
2024-11-17 11:03:08.349144571,.486,-0.000166,0.00257
2024-11-17 11:03:08.349144582,.319,-0.000509,-0.000686
2024-11-17 11:03:08.349144593,.152,0.000343,0.00051
2024-11-17 11:03:08.349144603,.985,-0.000509,0.000167
2024-11-17 11:03:08.349144614,.818,-0.000167,0.000343
2024-11-17 11:03:08.349144625,.651,0.000509,0.000853
2024-11-17 11:03:08.349144636,.484,-0.000343,0.000167
2024-11-17 11:03:08.349144647,.317,0.000166,-0.000853
2024-11-17 11:03:08.349144658,.150,0.000166,-0.000853
2024-11-17 11:03:08.349144668,.983,-0.000509,0.000343
2024-11-17 11:03:08.349144679,.816,-0.00119,-0.00051
2024-11-17 11:03:08.349144690,.649,-0.000685,0.00188
2024-11-17 11:03:08.349144701,.482,0.000853,0.000167
2024-11-17 11:03:08.349144712,.315,-0.000343,0.0012
2024-11-17 11:03:08.349144723,.148,0.00137,-0.000343
2024-11-17 11:03:08.349144733,.981,-0.000853,0.000852
2024-11-17 11:03:08.349144744,.814,-0.00103,-0.00103
2024-11-17 11:03:08.349144755,.647,0.00137,0.000509
2024-11-17 11:03:08.349144766,.480,0.00051,-0.00051
2024-11-17 11:03:08.349144777,.313,-0.00119,0.000166
2024-11-17 11:03:08.349144788,.146,-0.000166,-0.0024
